id,bdate,city,country,sex,is_closed,age,priority,marker
5318,1988-09-28,20950,1,2,0,34,2.0,0.0
41220,1988-11-14,20950,1,1,0,34,2.0,0.0
79928,1986-03-05,2,1,2,0,36,2.0,0.0
80683,1977-05-02,1,1,2,0,45,2.0,0.0
80701,2006-08-01,2,1,1,0,16,1.0,0.0
175468,1984-10-06,20950,1,2,1,38,8.0,0.0
199133,1988-10-21,20950,1,1,1,34,8.0,0.0
244523,1989-07-20,20950,1,1,1,33,8.0,0.0
257698,1988-09-17,20950,1,1,1,34,8.0,0.0
294228,1985-03-24,977,1,1,1,37,8.0,0.0
330345,1989-01-13,20950,1,1,1,33,8.0,0.0
358404,1986-04-20,20950,1,2,0,36,2.0,0.0
380274,1987-08-30,2,1,1,1,35,8.0,0.0
404409,1982-05-13,20950,1,1,0,40,2.0,0.0
443335,1987-06-28,20950,1,2,0,35,2.0,0.0
444963,1987-12-23,20950,1,1,1,35,8.0,0.0
477898,1983-11-09,20950,1,1,0,39,2.0,0.0
497967,1987-03-31,20950,1,1,1,35,8.0,0.0
522141,1987-04-14,20950,1,2,1,35,8.0,0.0
626962,1986-08-02,20950,1,1,0,36,2.0,0.0
727701,1985-02-12,151,1,1,0,37,2.0,0.0
741949,1988-08-13,20950,1,1,0,34,2.0,0.0
794357,1986-11-27,1515634,71,1,0,36,2.0,0.0
888427,1979-05-07,2,1,2,0,43,2.0,0.0
969517,1984-09-03,20950,1,1,0,38,2.0,0.0
1104697,1983-04-13,20950,1,1,0,39,2.0,0.0
1160662,1988-06-07,20950,1,1,1,34,8.0,0.0
1161288,1986-12-16,20950,1,1,0,36,2.0,0.0
1194748,1983-03-29,20950,1,1,0,39,2.0,0.0
1262915,1984-04-30,20950,1,1,0,38,2.0,0.0
1283183,1985-08-12,20950,1,1,0,37,2.0,0.0
1283185,2008-09-02,20950,1,1,0,14,1.0,0.0
1284603,1976-06-14,20950,1,1,0,46,2.0,0.0
1301052,1987-10-01,130,1,1,1,35,8.0,0.0
1321865,1990-03-30,20950,1,1,0,32,2.0,0.0
1418951,1987-07-05,20950,1,1,0,35,2.0,0.0
1525280,1984-06-29,20950,1,1,0,38,2.0,0.0
1562328,1985-04-05,20950,1,1,0,37,2.0,0.0
1675188,1987-05-31,20950,1,1,0,35,2.0,0.0
1768149,1989-02-11,20950,1,1,0,33,2.0,0.0
1769334,1987-06-26,20950,1,1,0,35,2.0,0.0
1787245,2007-11-21,20950,1,1,0,15,1.0,0.0
1822978,1984-01-10,20950,1,1,1,38,8.0,0.0
1830487,1986-02-24,1054308,1,2,0,36,2.0,0.0
1845192,1988-07-05,20950,1,1,0,34,2.0,0.0
1862740,1988-12-10,20950,1,1,1,34,8.0,0.0
1881981,1984-02-11,20950,1,2,0,38,2.0,0.0
1884027,1979-10-07,20950,1,1,0,43,2.0,0.0
1911398,1989-11-04,283,1,1,0,33,2.0,0.0
1924216,1989-02-06,1482,1,1,1,33,8.0,0.0
1933573,1988-02-29,20950,1,1,0,34,2.0,0.0
1939138,1992-02-12,20950,1,1,0,30,1.0,0.0
1972914,1983-09-12,20950,1,1,1,39,8.0,0.0
2023942,1988-12-07,20950,1,1,0,34,2.0,0.0
2065458,1987-04-06,20950,1,1,0,35,2.0,0.0
2076528,1983-01-14,283,1,1,0,39,2.0,0.0
2082658,1957-01-13,20950,1,2,0,65,3.0,0.0
2183537,1978-06-09,20950,1,1,1,44,8.0,0.0
2249971,1981-06-13,20950,1,2,0,41,2.0,0.0
2256727,1985-11-29,20950,1,1,0,37,2.0,0.0
2262716,1984-06-23,20950,1,1,0,38,2.0,0.0
2273291,1985-04-27,20950,1,2,0,37,2.0,0.0
2282635,1968-11-12,20950,1,1,0,54,2.0,0.0
2288642,1990-04-21,20950,1,2,0,32,2.0,0.0
2412545,1984-06-21,20950,1,1,0,38,2.0,0.0
2444816,1989-12-31,20950,1,1,0,33,2.0,0.0
2453603,1983-04-25,20950,1,1,0,39,2.0,0.0
2466917,1988-12-08,20950,1,1,0,34,2.0,0.0
2491912,1986-07-13,20950,1,2,1,36,8.0,0.0
2504152,1985-08-02,147,1,2,0,37,2.0,0.0
2515787,1980-06-03,20950,1,1,0,42,2.0,0.0
2526229,1989-11-20,20950,1,1,0,33,2.0,0.0
2548040,1988-05-09,20950,1,1,0,34,2.0,0.0
2549509,1987-03-24,20950,1,1,1,35,8.0,0.0
2623910,1983-10-16,20950,1,1,0,39,2.0,0.0
2657314,1988-07-05,20950,1,1,0,34,2.0,0.0
2714623,1971-12-20,20950,1,1,0,51,2.0,0.0
2732108,1987-06-19,20950,1,1,1,35,8.0,0.0
2829193,1988-07-08,20950,1,2,0,34,2.0,0.0
2933324,1987-10-21,20950,1,1,1,35,8.0,0.0
2960070,1987-07-24,20950,1,1,1,35,8.0,0.0
3021873,1983-01-24,147,1,2,0,39,2.0,0.0
3042404,1989-12-09,20950,1,1,0,33,2.0,0.0
3053511,1984-05-04,20950,1,1,0,38,2.0,0.0
3172237,1987-12-09,20950,1,1,0,35,2.0,0.0
3184850,1983-12-11,20950,1,1,1,39,8.0,0.0
3188340,1981-03-16,20950,1,2,1,41,8.0,0.0
3197218,1988-06-08,20950,1,1,0,34,2.0,0.0
3237606,1986-10-14,292,2,1,0,36,2.0,0.0
3259311,1988-09-27,20950,1,1,0,34,2.0,0.0
3260363,1986-10-16,20950,1,2,1,36,8.0,0.0
